2019 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Please Note: These results are not final. Event:24310 Phase:PostElection Generated:2019-07-01T15:26:29 Cycle:137da0a3-a392-4005-ac62-0e82b00a6d5e Created:2019-07-01T15:24:49 Environment:PROD Site:CANBERRA Server:VTR01 Version:10.7.10.55954]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,34147,Remote Mobile Team 1,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),277,-1.17
NT,306,Lingiari,34147,Remote Mobile Team 1,999,Informal,Informal,999,N,N,,Informal,52,-6.99
NT,306,Lingiari,34156,Remote Mobile Team 10,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,491,22.33
NT,306,Lingiari,34156,Remote Mobile Team 10,33034,HANNA,George,2,N,N,GRN,The Greens,21,-1.08
NT,306,Lingiari,34156,Remote Mobile Team 10,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,16,2.34
NT,306,Lingiari,34156,Remote Mobile Team 10,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,33,0.86
NT,306,Lingiari,34156,Remote Mobile Team 10,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,9,1.32
NT,306,Lingiari,34156,Remote Mobile Team 10,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),114,-5.26
NT,306,Lingiari,34156,Remote Mobile Team 10,999,Informal,Informal,999,N,N,,Informal,52,-3.67
NT,306,Lingiari,34157,Remote Mobile Team 11,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,441,27.65
NT,306,Lingiari,34157,Remote Mobile Team 11,33034,HANNA,George,2,N,N,GRN,The Greens,26,0.4
NT,306,Lingiari,34157,Remote Mobile Team 11,32734,HODGSON,Daniel Isaac,3,N,N,UAPP,United Australia Party,5,0.87
NT,306,Lingiari,34157,Remote Mobile Team 11,33014,McCARTHY,Regina,4,N,N,RUA,Rise Up Australia Party,11,-2.04
NT,306,Lingiari,34157,Remote Mobile Team 11,33028,MacFARLANE,Hamish,5,N,N,IND,Independent,7,1.22
NT,306,Lingiari,34157,Remote Mobile Team 11,33045,PRICE,Jacinta,6,N,N,CLP,Country Liberals (NT),82,-7.59
NT,306,Lingiari,34157,Remote Mobile Team 11,999,Informal,Informal,999,N,N,,Informal,52,-2.41
NT,306,Lingiari,34158,Remote Mobile Team 12,32740,SNOWDON,Warren,1,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,317,38.12
